"Family","Pair","Test","Ref","Mean","Diff"
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.021601479,-0.02373147
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.002177205,-0.00435441
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.1909129835,-0.206582573
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.07860097,-0.045936294
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.104666001,-0.128664408
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.238359482,-0.215244694
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.202093335,-0.16774717
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.078121433,-0.031069014
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.028908632,0.036758536
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.100957731,-0.104558022
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.1206020595,-0.057615801
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.1092833475,-0.087829561
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0998496565,0.000578851000000005
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.064584281,0.046074832
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.1600745855,-0.011387001
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0889867315,-0.019419917
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.2233493535,-0.129591613
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.050202067,-0.025299822
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.1987870505,-0.205640861
"Cephalobidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.064267383,0.018892216
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0429941345,0.080910201
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0417179405,0.072336025
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.1063185405,0.201827453
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.089418421,0.171649946
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.04274168,0.061943622
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.014603616,0.029207232
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.1232561025,0.223585153
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.2413303605,0.418591017
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.127299838,0.221060964
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.108963878,0.17706529
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.107690571,0.187956828
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.1497325845,0.279116195
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.084236516,0.165323908
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0340751045,0.068150209
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.1172421765,0.224486439
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.1168920385,0.169553893
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.084945533,0.05820351
"Monhysteridae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.19654143,0.113175832
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0262263505,-0.052452701
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0328700515,-0.065740103
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0,0
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0062586925,0.012517385
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.037638775,-0.07527755
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.2173466235,-0.276139701
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0099084545,-0.019816909
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.020567544,-0.041135088
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0,0
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0,0
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0,0
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0,0
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0135350895,-0.027070179
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0544728985,-0.108945797
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.006954103,0.013908206
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0,0
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0,0
"Mononchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0267801765,-0.053560353
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0104311545,0.020862309
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0030422635,-0.006084527
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0,0
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0077699,-0.0155398
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.136990389,-0.118208872
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.00418706,-0.00837412
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.00303368,-0.00606736
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0303644405,0.047755125
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0149420255,-0.029884051
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0783723265,-0.145618089
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0268804025,-0.042634241
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0121259755,-0.024251951
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0711109545,-0.081025803
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0115383835,-0.014731843
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.011623245,-0.02324649
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.028213762,-0.034174394
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.020862309,0.041724618
"Panagrolaimidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.00988376,-0.005859314
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0438438595,-0.087687719
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0685931245,-0.131622967
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0297563725,-0.048386181
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.083136061,0.00340799
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0350820945,-0.070164189
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.003040961,-0.006081922
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0529903335,-0.022531431
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0327813595,-0.062781077
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0066788995,-0.013357799
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.005509986,0.002888234
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.005718048,-0.011436096
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0873665855,0.122902435
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.074148976,-0.126044822
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.019653184,0.007981532
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0474987585,-0.053272899
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.1438589905,-0.104129663
"Rhabditidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.051088263,0.05637702
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.049703611,-0.040992758
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.25325491,-0.039194104
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.198424404,-0.012982326
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.004101496,-0.00542135
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.005365402,-0.010730804
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.035609283,0.023357234
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.094414892,-0.072000854
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0214478155,-0.037332349
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.001475331,-0.002950662
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.01934582,0.005814618
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.013398106,-0.026796212
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.007099428,-0.014198856
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0023123125,0.003720299
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.004295553,-0.003027824
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0221947715,-0.041607901
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.075788101,0.04313868
"Tylenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.044856402,-0.025735058
